Name,Average house price,Area,Reference suburb
CBD,1857308,CBD,Grey Lynn
Epsom,1521442,Central,Grey Lynn
Freemans Bay,1512500,Central,Grey Lynn
Greenlane,1120700,Central,Grey Lynn
Grey Lynn,1262523,Central,Grey Lynn
Herne Bay,1194800,Central,Grey Lynn
Mt Albert,957752,Central,Grey Lynn
Mt Eden,1359587,Central,Grey Lynn
Mt Roskill,955354,Central,Grey Lynn
One Tree Hill,1039167,Central,Grey Lynn
Parnell,1191929,Central,Grey Lynn
Ponsonby,1492000,Central,Grey Lynn
Royal Oak,1250643,Central,Grey Lynn
Sandringham,1076967,Central,Grey Lynn
Waterview,1150200,Central,Grey Lynn
Westmere,1436000,Central,Grey Lynn
Ellerslie,907132,Eastern,Grey Lynn
Glen Innes,895344,Eastern,Grey Lynn
Glendowie,1292375,Eastern,Grey Lynn
Kohimarama,1527583,Eastern,Grey Lynn
Meadowbank,1047692,Eastern,Grey Lynn
Mission Bay,1101400,Eastern,Grey Lynn
Orakei,2465333,Eastern,Grey Lynn
Point England,975860,Eastern,Grey Lynn
Remuera,1338319,Eastern,Grey Lynn
St Heliers,1569421,Eastern,Grey Lynn
St Johns,1051100,Eastern,Grey Lynn
Three Kings,865750,Eastern,Grey Lynn
Albany,758915,North Shore,New Lynn
Beach Haven,740318,North Shore,New Lynn
Birkdale,737097,North Shore,New Lynn
Birkenhead,1042865,North Shore,New Lynn
Browns Bay,854775,North Shore,New Lynn
Castor Bay,1303667,North Shore,New Lynn
Devonport,1242309,North Shore,New Lynn
Forrest Hill,1001011,North Shore,New Lynn
Glenfield,758165,North Shore,New Lynn
Greenhithe,894000,North Shore,New Lynn
Mairangi Bay,1093944,North Shore,New Lynn
Milford,1195083,North Shore,New Lynn
Murrays Bay,1091250,North Shore,New Lynn
Northcote Point,1198200,North Shore,New Lynn
Rothesay Bay,1013833,North Shore,New Lynn
Sunnynook,924609,North Shore,New Lynn
Takapuna,1287160,North Shore,New Lynn
Torbay,846790,North Shore,New Lynn
Clendon Park,496674,Southern,New Lynn
Conifer Grove,671000,Southern,New Lynn
Favona,662833,Southern,New Lynn
Flat Bush,684081,Southern,New Lynn
Goodwood Heights,721583,Southern,New Lynn
Mangere,555977,Southern,New Lynn
Mangere Bridge,1049643,Southern,New Lynn
Manukau Central,597357,Southern,New Lynn
Manurewa,563348,Southern,New Lynn
Mt Wellington,743052,Southern,New Lynn
Onehunga,955192,Southern,New Lynn
Otahuhu,597114,Southern,New Lynn
Otara,495273,Southern,New Lynn
Panmure,864083,Southern,New Lynn
Papakura,575139,Southern,New Lynn
Papatoetoe,670916,Southern,New Lynn
Takanini,654889,Southern,New Lynn
Wattle Downs,639474,Southern,New Lynn
Weymouth,520545,Southern,New Lynn
Avondale,856033,West,New Lynn
Blockhouse Bay,895878,West,New Lynn
Glen Eden,640840,West,New Lynn
Glendene,721158,West,New Lynn
Green Bay,919667,West,New Lynn
Henderson,660123,West,New Lynn
Hillsborough,975750,West,New Lynn
Hobsonville,1050222,West,New Lynn
Kelston,637731,West,New Lynn
Massey,660348,West,New Lynn
New Lynn,756818,West,New Lynn
New Windsor,922623,West,New Lynn
Ranui,605882,West,New Lynn
Royal Heights,705700,West,New Lynn
Sunnyvale,701313,West,New Lynn
Swanson,797143,West,New Lynn
Te Atatu South,728312,West,New Lynn
Te Atatu Peninsula,775924,West,New Lynn
Te Atatu South,728312,West,New Lynn
Titirangi,780575,West,New Lynn
West Harbour,886710,West,New Lynn
Whenuapai,1406500,West,New Lynn
