City,Region,Suburb,Commute to city,3bdr hse,cost per net sqm floor area_kaenga,cost per net sqm floor area_house,Gross Build cost per sqm
Auckland,Central,Avondale,20-40,863821,1242.349303,2795.285933,4000
Auckland,Central,Blockhouse Bay,20-40,974880,1402.074607,3154.667865,4000
Auckland,Central,Epsom,10-20,1781938,2562.787236,5766.271281,4000
Auckland,Central,Freemans Bay,Walking distance,1423750,2047.640449,4607.191011,4000
Auckland,Central,Greenlane,20-40,1346667,1936.779506,4357.753888,4000
Auckland,Central,Grey Lynn,10-20,1390625,2000,4500,4000
Auckland,Central,Mt Albert,10-20,1086333,1562.366562,3515.324764,4000
Auckland,Central,Mt Eden,10-20,1564823,2250.531955,5063.696899,4000
Auckland,Central,Mt Roskill,20-40,925465,1331.005843,2994.763146,4000
Auckland,Central,New Windsor,20-40,973700,1400.377528,3150.849438,4000
Auckland,Central,One Tree Hill,20-40,1232235,1772.203146,3987.457079,4000
Auckland,Central,Onehunga,20-40,1046450,1505.006742,3386.265169,4000
Auckland,Central,Ponsonby,Walking distance,1513714,2177.026876,4898.310472,4000
Auckland,Central,Pt Chevalier,10-20,1513714,2177.026876,4898.310472,4000
Auckland,Central,Royal Oak,20-40,1210800,1741.375281,3918.094382,4000
Auckland,Central,Sandringham,10-20,1375861,1978.766382,4452.22436,4000
Auckland,Central,Three Kings,20-40,1162333,1671.669933,3761.257348,4000
Auckland,Central,Westmere,10-20,1365400,1963.721348,4418.373034,4000
Auckland,Eastern,Ellerslie,20-40,1096222,1576.588944,3547.325124,4000
Auckland,Eastern,Glen Innes,20-40,1016542,1461.992989,3289.484225,4000
Auckland,Eastern,Glendowie,20-40,1584722,2279.150742,5128.089169,4000
Auckland,Eastern,Meadowbank,20-40,1220500,1755.325843,3949.483146,4000
Auckland,Eastern,Mt Wellington,20-40,1009119,1451.317213,3265.46373,4000
Auckland,Eastern,Panmure,20-40,1175900,1691.182022,3805.159551,4000
Auckland,Eastern,Parnell,Walking distance,1780625,2560.898876,5762.022472,4000
Auckland,Eastern,Pt England,20-40,1126500,1620.134831,3645.303371,4000
Auckland,Eastern,Remuera,10-20,1447958,2082.456449,4685.527011,4000
Auckland,Eastern,St Heliers,20-40,1555125,2236.58427,5032.314607,4000
Auckland,Eastern,St Johns,20-40,1351250,1943.370787,4372.58427,4000
Auckland,Franklin/Manukau,Pukekohe,60+,805177,860.8756549,1936.970223,4000
Auckland,Franklin/Manukau,Tuakau,60+,551350,589.4900032,1326.352507,4000
Auckland,Franklin/Manukau,Waiuku,60+,595300,636.4802737,1432.080616,4000
Auckland,North Shore,Albany,40-60,945611,1011.02427,2274.804608,4000
Auckland,North Shore,Beach Haven,20-40,879292,940.1176093,2115.264621,4000
Auckland,North Shore,Birkdale,20-40,764994,817.9129691,1840.30418,4000
Auckland,North Shore,Birkenhead,10-20,1069267,1143.234256,2572.277077,4000
Auckland,North Shore,Browns Bay,20-40,960364,1026.797819,2310.295092,4000
Auckland,North Shore,Castor Bay,20-40,1767000,1889.233401,4250.775152,4000
Auckland,North Shore,Devonport,20-40,1349000,1442.317973,3245.215439,4000
Auckland,North Shore,Forrest Hill,20-40,985583,1053.76136,2370.96306,4000
Auckland,North Shore,Glenfield,20-40,859187,918.6218326,2066.899123,4000
Auckland,North Shore,Greenhithe,20-40,1266250,1353.843687,3046.148295,4000
Auckland,North Shore,Mairangi Bay,20-40,1267050,1354.699027,3048.072811,4000
Auckland,North Shore,Milford,20-40,1462600,1563.776328,3518.496739,4000
Auckland,North Shore,Murrays Bay,20-40,1360500,1454.613493,3272.880359,4000
Auckland,North Shore,Sunnynook,20-40,1008563,1078.331017,2426.244788,4000
Auckland,North Shore,Takapuna,10-20,1190471,1272.822624,2863.850903,4000
Auckland,North Shore,Torbay,20-40,934636,999.2900674,2248.402652,4000
Auckland,Pakuranga/Howick,Beachlands,40-60,1598333,1708.898749,3845.022185,4000
Auckland,Pakuranga/Howick,Bucklands Beach,40-60,1127167,1205.139527,2711.563937,4000
Auckland,Pakuranga/Howick,Dannemora,40-60,942000,1007.163477,2266.117823,4000
Auckland,Pakuranga/Howick,Half Moon Bay,40-60,959972,1026.378702,2309.35208,4000
Auckland,Pakuranga/Howick,Howick,40-60,894550,956.4310916,2151.969956,4000
Auckland,Pakuranga/Howick,Maraetai,40-60,1166590,1247.28964,2806.401689,4000
Auckland,Pakuranga/Howick,Northpark,20-40,1040513,1112.491179,2503.105153,4000
Auckland,Pakuranga/Howick,Pakuranga,20-40,1097158,1173.054635,2639.372928,4000
Auckland,Rodney,Arkles Bay,60+,772143,825.5565059,1857.502138,4000
Auckland,Rodney,Gulf Harbour,60+,805111,860.8050893,1936.811451,4000
Auckland,Rodney,Helensville,60+,814000,870.3089918,1958.195231,4000
Auckland,Rodney,Manly,60+,752889,804.9705977,1811.183845,4000
Auckland,Rodney,Orewa,60+,938357,1003.26847,2257.354058,4000
Auckland,Rodney,Red Beach,20-40,861056,920.6201219,2071.395274,4000
Auckland,Rodney,Stanmore Bay,60+,788895,843.4673367,1897.801508,4000
Auckland,Rodney,Warkworth,60+,1283875,1372.687908,3088.547792,4000
Auckland,South,Clendon Park,40-60,558400,597.0276916,1343.312306,4000
Auckland,South,Favona,20-40,652583,697.7258634,1569.883193,4000
Auckland,South,Flat Bush,20-40,765714,818.6827756,1842.036245,4000
Auckland,South,Mangere,20-40,645955,690.639367,1553.938576,4000
Auckland,South,Mangere Bridge,20-40,917500,980.9686732,2207.179515,4000
Auckland,South,Manurewa,40-60,637567,681.6711216,1533.760024,4000
Auckland,South,Otahuhu,20-40,954292,1020.305784,2295.688015,4000
Auckland,South,Otara,20-40,590389,631.229552,1420.266492,4000
Auckland,South,Papakura,40-60,633517,677.3409601,1524.01716,4000
Auckland,South,Papatoetoe,20-40,760058,812.635518,1828.429916,4000
Auckland,South,Takanini,40-60,668250,714.4766385,1607.572437,4000
Auckland,South,The Gardens,40-60,925375,989.3884315,2226.123971,4000
Auckland,South,Totara Heights,40-60,686600,734.096012,1651.716027,4000
Auckland,South,Wattle Downs,40-60,683423,730.6992409,1644.073292,4000
Auckland,South,Weymouth,40-60,676400,723.1904202,1627.178445,4000
Auckland,West,Glen Eden,20-40,708549,757.5633487,1704.517534,4000
Auckland,West,Glendene,20-40,750464,802.3778467,1805.350155,4000
Auckland,West,Henderson,20-40,760510,813.1187854,1829.517267,4000
Auckland,West,Hobsonville,20-40,811195,867.309954,1951.447397,4000
Auckland,West,Kelston,20-40,727000,777.2907089,1748.904095,4000
Auckland,West,Massey,20-40,735808,786.7080081,1770.093018,4000
Auckland,West,New Lynn,20-40,748240,800,1800,4000
Auckland,West,Ranui,20-40,645854,690.5313803,1553.695606,4000
Auckland,West,Royal Heights,20-40,806438,862.2238854,1940.003742,4000
Auckland,West,Sunnyvale,40-60,716067,765.6014113,1722.603175,4000
Auckland,West,Swanson,40-60,793364,848.2454827,1908.552336,4000
Auckland,West,Te Atatu Peninsula,20-40,902905,965.3640543,2172.069122,4000
Auckland,West,Te Atatu South,20-40,869571,929.7241527,2091.879344,4000
Auckland,West,Titirangi,40-60,848850,907.5697637,2042.031968,4000
Auckland,West,Waitakere,40-60,823750,880.7334545,1981.650273,4000
Auckland,West,West Harbour,20-40,882235,943.2641933,2122.344435,4000
Wellington,Central,Thorndon,Walking distance,740000,259.6491228,584.2105263,3000
Wellington,Central,Pipitea,Walking distance,650000,228.0701754,513.1578947,3000
Wellington,Central,Oriental Bay,Walking distance,1835000,643.8596491,1448.684211,3000
Wellington,Central,Mount Victoria,Walking distance,910000,319.2982456,718.4210526,3000
Wellington,Central,Te Aro,Walking distance,655000,229.8245614,517.1052632,3000
Wellington,Central,Brooklyn,10-20,700000,245.6140351,552.6315789,3000
Wellington,Central,Aro Valley,Walking distance,642500,225.4385965,507.2368421,3000
Wellington,Central,Highbury,10-20,790000,277.1929825,623.6842105,3000
Wellington,Central,Kelburn,Walking distance,950000,333.3333333,750,3000
Wellington,Northern,Broadmeadows,10-20,540000,200,450,3000
Wellington,Northern,Churton Park,10-20,595000,220.3703704,495.8333333,3000
Wellington,Northern,Glenside,10-20,500000,185.1851852,416.6666667,3000
